"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Hotelling's Law.nlogox"
"Baseline"
"05/15/2026 17:14:53:642 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","layout","number-of-stores","rules","[step]","ticks","store-positions","store-market-shares","store-prices"
"3","plane","2","normal","10","10","[[0 3 2] [1 11 11]]","[[0 1066] [1 615]]","[[0 12] [1 8]]"
"6","plane","2","normal","10","10","[[0 -11 6] [1 -11 -14]]","[[0 1009] [1 672]]","[[0 20] [1 20]]"
"4","plane","2","normal","10","10","[[0 -4 3] [1 -10 9]]","[[0 925] [1 756]]","[[0 11] [1 7]]"
"2","plane","2","normal","10","10","[[1 -1 1] [0 0 1]]","[[1 820] [0 861]]","[[1 7] [0 7]]"
"5","plane","2","normal","10","10","[[1 -11 -10] [0 7 -10]]","[[1 752] [0 929]]","[[1 20] [0 20]]"
"1","plane","2","normal","10","10","[[1 5 4] [0 -2 -2]]","[[1 744] [0 937]]","[[1 12] [0 12]]"
"9","plane","2","normal","10","10","[[1 -2 2] [0 0 -7]]","[[1 763] [0 918]]","[[1 18] [0 15]]"
"7","plane","2","normal","10","10","[[1 6 1] [0 9 3]]","[[1 1020] [0 661]]","[[1 5] [0 4]]"
"10","plane","2","normal","10","10","[[1 10 -15] [0 7 9]]","[[1 674] [0 1007]]","[[1 20] [0 20]]"
"11","plane","2","normal","10","10","[[0 -8 -6] [1 -10 -12]]","[[0 923] [1 758]]","[[0 9] [1 5]]"
"8","plane","2","normal","10","10","[[0 10 -7] [1 -5 9]]","[[0 879] [1 802]]","[[0 17] [1 19]]"
"12","plane","2","normal","10","10","[[1 -8 6] [0 9 -12]]","[[1 928] [0 753]]","[[1 19] [0 18]]"
"13","plane","2","normal","10","10","[[0 -2 -4] [1 -10 -10]]","[[0 987] [1 694]]","[[0 11] [1 7]]"
"14","plane","2","normal","10","10","[[0 11 -2] [1 11 16]]","[[0 1011] [1 670]]","[[0 20] [1 17]]"
"15","plane","2","normal","10","10","[[1 -15 11] [0 7 11]]","[[1 709] [0 972]]","[[1 19] [0 20]]"
"16","plane","2","normal","10","10","[[0 -3 4] [1 1 1]]","[[0 865] [1 816]]","[[0 8] [1 9]]"
"19","plane","2","normal","10","10","[[1 10 9] [0 -5 9]]","[[1 820] [0 861]]","[[1 17] [0 19]]"
"17","plane","2","normal","10","10","[[1 -9 -5] [0 -10 -10]]","[[1 867] [0 814]]","[[1 8] [0 5]]"
"21","plane","2","moving-only","10","10","[[0 2 -14] [1 2 -9]]","[[0 369] [1 1312]]","[[0 10] [1 10]]"
"22","plane","2","moving-only","10","10","[[1 -3 -3] [0 -3 -8]]","[[1 1066] [0 615]]","[[1 10] [0 10]]"
"23","plane","2","moving-only","10","10","[[1 9 -9] [0 -9 -9]]","[[1 843] [0 838]]","[[1 10] [0 10]]"
"18","plane","2","normal","10","10","[[1 -10 5] [0 -5 10]]","[[1 719] [0 962]]","[[1 9] [0 8]]"
"24","plane","2","moving-only","10","10","[[0 -4 -4] [1 7 6]]","[[0 939] [1 742]]","[[0 10] [1 10]]"
"20","plane","2","normal","10","10","[[0 4 -6] [1 0 1]]","[[0 770] [1 911]]","[[0 12] [1 13]]"
"25","plane","2","moving-only","10","10","[[0 -8 -6] [1 -6 10]]","[[0 888] [1 793]]","[[0 10] [1 10]]"
"30","plane","2","moving-only","10","10","[[0 0 0] [1 -1 0]]","[[0 861] [1 820]]","[[0 10] [1 10]]"
"26","plane","2","moving-only","10","10","[[0 -3 -6] [1 -1 -4]]","[[0 575] [1 1106]]","[[0 10] [1 10]]"
"27","plane","2","moving-only","10","10","[[0 -1 -1] [1 -1 0]]","[[0 820] [1 861]]","[[0 10] [1 10]]"
"29","plane","2","moving-only","10","10","[[1 12 10] [0 -6 10]]","[[1 717] [0 964]]","[[1 10] [0 10]]"
"32","plane","2","moving-only","10","10","[[0 -1 0] [1 -1 -1]]","[[0 861] [1 820]]","[[0 10] [1 10]]"
"28","plane","2","moving-only","10","10","[[1 -2 -2] [0 3 -7]]","[[1 1032] [0 649]]","[[1 10] [0 10]]"
"31","plane","2","moving-only","10","10","[[1 10 -1] [0 10 -1]]","[[1 849] [0 832]]","[[1 10] [0 10]]"
"35","plane","2","moving-only","10","10","[[1 2 3] [0 -1 -1]]","[[1 784] [0 897]]","[[1 10] [0 10]]"
"34","plane","2","moving-only","10","10","[[0 -5 -2] [1 -5 -10]]","[[0 1089] [1 592]]","[[0 10] [1 10]]"
"33","plane","2","moving-only","10","10","[[1 14 -2] [0 11 -2]]","[[1 328] [0 1353]]","[[1 10] [0 10]]"
"36","plane","2","moving-only","10","10","[[0 9 -1] [1 1 -7]]","[[0 759] [1 922]]","[[0 10] [1 10]]"
"38","plane","2","moving-only","10","10","[[0 5 -7] [1 4 -7]]","[[0 656] [1 1025]]","[[0 10] [1 10]]"
"39","plane","2","moving-only","10","10","[[1 -8 9] [0 -9 13]]","[[1 1379] [0 302]]","[[1 10] [0 10]]"
"37","plane","2","moving-only","10","10","[[0 -5 2] [1 -1 -1]]","[[0 702] [1 979]]","[[0 10] [1 10]]"
"40","plane","2","moving-only","10","10","[[0 -9 -9] [1 8 -9]]","[[0 820] [1 861]]","[[0 10] [1 10]]"
"41","plane","2","pricing-only","10","10","[[0 -5 16] [1 15 4]]","[[0 797] [1 884]]","[[0 20] [1 20]]"
"42","plane","2","pricing-only","10","10","[[1 -12 18] [0 -9 -9]]","[[1 638] [0 1043]]","[[1 19] [0 20]]"
"43","plane","2","pricing-only","10","10","[[1 19 -1] [0 -8 12]]","[[1 721] [0 960]]","[[1 20] [0 20]]"
